County,Total population,Years
"Arkansas County, Arkansas","17,761",2016-2020
"Benton County, Arkansas","273,510",2016-2020
"Christian County, Missouri","87,324",2016-2020
"Greene County, Missouri","291,574",2016-2020
"Arkansas County, Arkansas","18,731",2011-2015
"Benton County, Arkansas","238,198",2011-2015
"Christian County, Missouri","80,904",2011-2015
"Greene County, Missouri","283,206",2011-2015
"Arkansas County, Arkansas","19,321",2006-2010
"Benton County, Arkansas","209,911",2006-2010
"Christian County, Missouri","74,156",2006-2010
"Greene County, Missouri","270,190",2006-2010
